year,age,education,jobclass,health,health_ins,wage
2003,46,3. Some College,2. Information,2. >=Very Good,1. Yes,99.68946369848636
2009,26,3. Some College,1. Industrial,2. >=Very Good,2. No,94.07271474570051
2006,43,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,95.23071256698191
2007,36,2. HS Grad,2. Information,2. >=Very Good,1. Yes,127.11574381218446
2003,54,3. Some College,2. Information,1. <=Good,1. Yes,99.68946369848636
2003,62,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,95.68881190673713
2006,40,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2006,53,3. Some College,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2007,48,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,176.9896504898766
2004,23,4. College Grad,1. Industrial,2. >=Very Good,2. No,61.18752643399147
2009,34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.28325328425272
2004,43,4. College Grad,2. Information,2. >=Very Good,2. No,256.40064956242526
2006,55,2. HS Grad,2. Information,1. <=Good,1. Yes,81.28325328425272
2007,59,2. HS Grad,2. Information,2. >=Very Good,1. Yes,81.28325328425272
2007,60,2. HS Grad,2. Information,2. >=Very Good,2. No,55.76739050849227
2009,49,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,75.35567931800914
2006,45,3. Some College,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2006,31,2. HS Grad,1. Industrial,2. >=Very Good,2. No,43.735111677982104
2004,34,4. College Grad,2. Information,1. <=Good,1. Yes,114.47571329034717
2005,26,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2007,22,2. HS Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2004,40,2. HS Grad,2. Information,1. <=Good,2. No,68.57216570227378
2009,41,3. Some College,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2006,36,3. Some College,1. Industrial,2. >=Very Good,1. Yes,97.49329404539341
2007,38,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,62.39835472056851
2003,48,2. HS Grad,1. Industrial,2. >=Very Good,2. No,97.49329404539341
2006,47,3. Some College,2. Information,2. >=Very Good,1. Yes,134.70537511887878
2005,47,1. < HS Grad,1. Industrial,1. <=Good,2. No,61.18752643399147
2007,35,4. College Grad,2. Information,1. <=Good,2. No,118.88435933988579
2008,49,2. HS Grad,2. Information,2. >=Very Good,1. Yes,65.1108537153447
2004,40,3. Some College,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2004,32,4. College Grad,1. Industrial,2. >=Very Good,2. No,104.92150653366392
2008,57,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2008,56,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,141.7751723331802
2009,73,1. < HS Grad,1. Industrial,1. <=Good,2. No,90.48191335664015
2007,29,2. HS Grad,1. Industrial,1. <=Good,1. Yes,73.77574327469462
2003,49,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,134.70537511887878
2009,30,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2008,29,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,91.69922611170422
2004,36,3. Some College,2. Information,2. >=Very Good,2. No,95.23071256698191
2009,39,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,156.50351088263324
2007,48,4. College Grad,2. Information,2. >=Very Good,1. Yes,104.92150653366392
2006,45,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,99.68946369848636
2004,50,4. College Grad,1. Industrial,1. <=Good,2. No,54.598150033144236
2003,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,32.36641317485487
2007,58,3. Some College,1. Industrial,1. <=Good,2. No,118.88435933988579
2007,48,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2003,48,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,109.83398564219921
2005,45,3. Some College,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2007,41,3. Some College,1. Industrial,2. >=Very Good,1. Yes,110.7826502762544
2008,27,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,93.55726734793063
2004,44,2. HS Grad,2. Information,2. >=Very Good,1. Yes,109.83398564219921
2003,32,4. College Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2006,46,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2005,52,2. HS Grad,2. Information,1. <=Good,2. No,52.15617116991475
2003,22,3. Some College,1. Industrial,2. >=Very Good,2. No,43.735111677982104
2004,53,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,117.14681691480487
2008,34,5. Advanced Degree,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2009,38,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2009,42,1. < HS Grad,2. Information,2. >=Very Good,1. Yes,101.82435207567953
2005,25,3. Some College,2. Information,2. >=Very Good,1. Yes,94.07271474570051
2004,29,3. Some College,1. Industrial,2. >=Very Good,1. Yes,86.69515482894022
2005,28,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2005,46,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,66.9616443217359
2007,55,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,118.88435933988579
2004,56,2. HS Grad,1. Industrial,1. <=Good,2. No,105.76763962275824
2005,41,2. HS Grad,2. Information,1. <=Good,1. Yes,118.88435933988579
2009,61,5. Advanced Degree,2. Information,2. >=Very Good,2. No,176.9896504898766
2003,47,2. HS Grad,2. Information,2. >=Very Good,1. Yes,65.1108537153447
2006,52,3. Some College,1. Industrial,2. >=Very Good,1. Yes,85.38394037898266
2004,27,2. HS Grad,1. Industrial,2. >=Very Good,2. No,72.15045568157132
2007,33,3. Some College,2. Information,2. >=Very Good,1. Yes,89.2428846644714
2003,58,2. HS Grad,2. Information,1. <=Good,1. Yes,65.1108537153447
2005,27,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,145.8051633746247
2009,52,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2003,45,5. Advanced Degree,1. Industrial,2. >=Very Good,2. No,41.099803630119425
2003,22,2. HS Grad,2. Information,2. >=Very Good,1. Yes,68.39565380354551
2005,25,3. Some College,1. Industrial,1. <=Good,1. Yes,81.28325328425272
2004,25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,73.77574327469462
2005,41,1. < HS Grad,1. Industrial,2. >=Very Good,1. Yes,130.98217737746066
2006,54,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,148.4131591025766
2007,23,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,81.22674631202302
2006,36,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,63.18886100374613
2004,31,3. Some College,1. Industrial,1. <=Good,1. Yes,94.07271474570051
2006,52,2. HS Grad,2. Information,1. <=Good,1. Yes,92.65813016685972
2007,46,2. HS Grad,2. Information,1. <=Good,2. No,76.89360251761123
2007,45,2. HS Grad,1. Industrial,1. <=Good,1. Yes,118.88435933988579
2009,40,2. HS Grad,1. Industrial,1. <=Good,2. No,79.85490030934672
2004,33,4. College Grad,2. Information,2. >=Very Good,1. Yes,86.69515482894022
2007,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,133.97150007069519
2007,41,4. College Grad,2. Information,2. >=Very Good,1. Yes,125.52549843383584
2007,25,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,92.89584478949662
2005,24,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,72.15045568157132
2006,24,3. Some College,1. Industrial,2. >=Very Good,2. No,118.88435933988579
2008,51,2. HS Grad,2. Information,1. <=Good,2. No,70.47601964694451
2004,41,2. HS Grad,1. Industrial,2. >=Very Good,2. No,127.11574381218446
2009,42,4. College Grad,2. Information,2. >=Very Good,1. Yes,114.47571329034717
2005,30,4. College Grad,1. Industrial,2. >=Very Good,1. Yes,87.98103278560542
2009,55,1. < HS Grad,1. Industrial,2. >=Very Good,2. No,54.598150033144236
2008,23,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,84.04595765399237
2003,60,4. College Grad,2. Information,2. >=Very Good,2. No,85.38394037898266
2003,40,5. Advanced Degree,2. Information,2. >=Very Good,1. Yes,141.7751723331802
2008,41,2. HS Grad,2. Information,2. >=Very Good,1. Yes,110.7826502762544
2003,80,2. HS Grad,2. Information,1. <=Good,1. Yes,79.85490030934672
2005,53,2. HS Grad,2. Information,2. >=Very Good,1. Yes,97.49329404539341
2004,40,2. HS Grad,1. Industrial,2. >=Very Good,2. No,171.7651326275075
2009,35,3. Some College,1. Industrial,1. <=Good,1. Yes,137.48124783166278
2009,55,1. < HS Grad,1. Industrial,1. <=Good,1. Yes,75.35567931800914
2008,24,2. HS Grad,2. Information,2. >=Very Good,1. Yes,73.77574327469462
2007,39,4. College Grad,2. Information,2. >=Very Good,1. Yes,148.4131591025766
2003,30,5. Advanced Degree,1. Industrial,2. >=Very Good,1. Yes,95.23071256698191
2005,68,2. HS Grad,1. Industrial,1. <=Good,1. Yes,87.98103278560542
2004,54,2. HS Grad,2. Information,1. <=Good,1. Yes,109.83398564219921
2008,27,4. College Grad,1. Industrial,2. >=Very Good,2. No,81.28325328425272
2005,34,2. HS Grad,1. Industrial,2. >=Very Good,1. Yes,118.88435933988579
2004,53,5. Advanced Degree,2. Information,1. <=Good,1. Yes,127.11574381218446
2004,48,5. Advanced Degree,2. Information,2. >=Very Good,2. No,85.38394037898266
